微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MbUshp1bY,🎁 转本条，10 月 28 日抽一位送出 DoMemo 兑换码。DoMemo：用小而美的身躯，在笔记和备忘录之间寻找平衡在 DoMemo 中，每一个笔记都以卡片的形式存在，在笔记界面中按照时间流进行排序。当笔记列表滚动到顶部时，继续下滑屏幕就可以创建一条新的笔记。另外，在笔记界面的右下角有一个按钮，当笔记列表在顶部时，这个按钮就是「新建笔记」的功能，当笔记列表不在顶部时，这个按钮就是「返回顶部」的功能。更多关于 DoMemo 的使用体验请看本期派评：派评 | 近期值得关注的 App 抽奖详情                  原图                             ,,https://wx4.sinaimg.cn/large/72157b63ly1h7h9m0y22bj218i0u0n1c.jpg,无,无,2022-10-25 09:14,微博 weibo.com,25,69,16
MbUnFkER0,#派早报# 01. iPadOS 16 与 macOS Ventura 开始推送02. Apple 上调多项订阅服务价格03. 特斯拉中国地区宣布调价04. vivo 发布下一代自研影像芯片05. 任天堂公布 Switch Online 新活动06. 一加 x 原神联动手机发布07. 国际刑警组织公布「警察元宇宙」🔗：派早报：iPadOS 16 与 macOS Ventura 开始推送，Apple 上调多项服务价格等·  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7h99qt4j5j20nccmru0x.jpg,无,无,2022-10-25 09:02,微博 weibo.com,11,2,4
MbPFTkmWP,【新款 iPad Pro 首发体验】依然是你熟悉的那台最强 iPad距离首次搭载 Apple silicon 架构芯片的一年半之后，Apple 终于推出了最强 iPad 系列的下一代型号：配备 M2 芯片的 iPad Pro 系列。在提前拿到新款 12.9 英寸 iPad Pro 短暂体验之后，简单说说这款产品给我留下的印象。#新iPad值不值得买##ipad评测#🔗：依然是你熟悉的那台最强 iPad：新款 iPad Pro 首发体验·             [组图共9张]      原图                             ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7gohclvqyj20v40kdgse.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7gohib2a3j20v40kkq5u.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7gohf1vlej20v40kltci.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7gohnk0fzj20v40krae7.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7gohrlwjpj20v40krjt9.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7gohuk0dqj20v40lbad8.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7gohxu0mmj20v40kr43y.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7goi0lxw6j20v40kr0x5.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7goi3yd7xj20v40i4dhy.jpg",无,无,2022-10-24 21:04,微博 weibo.com,21,7,4
MbPEQjT3I,新一代的 iPad 将于 10 月 26 日正式发售，派君也提前上手了这款产品的蓝色版本。与 iPad Air（第五代）相比，新 iPad 的蓝色饱和度更高，机身厚度和重量都略有增加。显示效果方面，新款 iPad 的显示效果与 iPad Air 十分接近，但因为没有全层压显示屏和抗反射涂层，所以息屏下没有 iPad Air 黑得彻底。性能方面，日常使用都很流畅，但受制于 A14 的性能上限，台前调度功能无法使用。此外，新的妙控键盘双面夹增加了功能键，特别是增加了 Esc 按键，在打字时更为实用。我派还将于明天发表新 iPad 的详细上手体验，欢迎大家关注。 #ipad评测#             [组图共6张]      原图                             ,,"http://ww2.sinaimg.cn/large/72157b63ly1h7go9k7nlmj21900u0wev.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7go9lz52dj21900u0weq.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7go9l7rarj21900u0q4o.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7go9lz20fj21900u0q5u.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7go9m3z4kj21900u0abi.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7go9mipzyj21900u0abj.jpg",无,无,2022-10-24 21:01,微博 weibo.com,15,2,5
MbOrag7Z4,🎮玩游戏，交朋友——「少数派 x 万物破元」线下活动回顾10 月 22 日（上周六）的午后，少数派会员 x @万物破元 游戏主题聚会如期举行。这是一场由少数派会员发起的聚会，大家在万物破元，分享着属于每个人的少数派故事。🔗：玩游戏，交朋友——「少数派 x 万物破元」线下活动回顾  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7gj1mq29tj20m80b4n24.jpg,无,无,2022-10-24 17:54,无,9,2,1
MbNVyuv0o,只要 9.9，少数派付费栏目带回家本次参与促销的栏目包括：《59 分钟就上手简悦 2.0》《59 分钟就上手 MoneyWiz》《59 分钟就上手 PAD》《给少数派的写作建议》🔗 见评论。  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7ggp3gszjj213g0jogmz.jpg,无,无,2022-10-24 16:37,微博 weibo.com,13,1,2
MbNSY5Mht,在忙碌的生活中坚持阅读：我的得到阅读器三年使用体验距离我下单购买成为了得到阅读器的初代用户已经接近三年了。如今，这个阅读器已经完全取代了纸质书，成为我每日阅读的最佳介质。🔗：在忙碌的生活中坚持阅读：我的得到阅读器三年使用体验·  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7gglyvyrbj20m80b4ju3.jpg,无,无,2022-10-24 16:30,微博 weibo.com,15,2,2
MbMquq8L0,⌨️ 转本条，10 月 30 日抽两位送出 Keychron Q0 键盘本期 #獭可派# 是大家熟悉的 Keychron，不用等到双十一，立享全年最低价，我们准备了 5 款型号供你选择，希望大家能挑到适合自己的键盘。🔗见评论。  抽奖详情  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/72157b63ly1h7g87emxi2j20u02umaos.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7g87kz1xrj20u04imb1p.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7g87l5nrfj20u04im1kx.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7g87ll1ysj20u051otkn.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7g87lwvgzj20u06gz4qp.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7g87kmbeij20u05rw1kx.jpg",无,无,2022-10-24 12:47,微博 weibo.com,141,872,210
MbLVfcAUB,1024 又到了，想过节不如自己变成程序员，来了解一下我派「100 小时后请叫我程序员」栏目100 小时后请叫我程序员  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7geshxlwbj20rs43igqj.jpg,无,无,2022-10-24 11:30,微博 weibo.com,26,10,5
MbKXNzpTb,#派早报# 01. Apple 硬件设计负责人离职02. 印度对 Google 开出 1.62 亿美元反垄断罚单03. Adobe 演示一系列 AI 图像合成工具04. 微软电脑管家上架 Microsoft Store05. Pocket Casts 开源发布移动端应用06. YouTube Premium 大幅上调订阅价格🔗：派早报：Apple 硬件设计负责人离职，印度对 Google 开出高额反垄断罚单等  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7g3piddt6j20kacmru0x.jpg,无,无,2022-10-24 09:04,微博 weibo.com,8,2,5
